iter	RMSE
0	6748.482201
1	6706.921292
2	6666.488988
3	6625.167436
4	6586.235095
5	6544.861848
6	6505.727864
7	6464.61053
8	6424.070031
9	6385.308591
10	6346.572818
11	6309.541515
12	6274.090218
13	6238.104462
14	6203.795354
15	6167.69527
16	6132.163283
17	6098.175727
18	6065.895577
19	6032.08567
20	5998.620619
21	5965.60588
22	5932.84938
23	5900.696715
24	5869.113774
25	5838.525757
26	5806.757709
27	5775.548266
28	5744.938475
29	5714.401208
30	5685.066507
31	5657.086652
32	5627.296446
33	5599.339136
34	5572.938431
35	5544.641267
36	5518.893032
37	5491.72064
38	5464.79518
39	5437.569099
40	5411.495776
41	5387.2211
42	5362.059503
43	5337.215538
44	5312.714398
45	5289.204883
46	5264.997188
47	5240.147759
48	5217.166949
49	5194.275648
50	5171.348874
51	5149.180858
52	5127.180719
53	5105.965723
54	5085.079805
55	5063.976768
56	5042.367253
57	5020.798068
58	5000.969187
59	4980.766673
60	4961.344183
61	4941.96517
62	4922.224176
63	4902.771175
64	4884.161547
65	4866.466213
66	4847.712117
67	4830.103944
68	4812.336101
69	4795.004386
70	4776.715348
71	4759.281612
72	4741.830573
73	4725.678737
74	4709.105936
75	4692.415357
76	4676.917101
77	4661.344014
78	4646.293391
79	4629.960789
80	4614.041104
81	4598.286369
82	4583.354436
83	4568.164477
84	4553.509085
85	4539.408668
86	4526.133885
87	4512.321965
88	4498.695846
89	4485.32554
90	4471.273249
91	4459.068989
92	4446.331285
93	4433.753315
94	4421.089308
95	4409.099591
96	4397.629125
97	4385.667083
98	4373.998809
99	4362.426637
100	4351.333028
101	4340.484788
102	4328.18695
103	4316.214341
104	4305.594761
105	4295.810295
106	4285.581319
107	4275.363331
108	4265.259464
109	4254.275388
110	4243.363944
111	4233.045563
112	4223.322112
113	4213.214483
114	4202.395308
115	4192.192794
116	4182.7889
117	4173.35993
118	4163.155723
119	4154.105707
120	4145.005851
121	4136.401963
122	4127.611327
123	4118.746057
124	4110.45964
125	4101.767574
126	4093.231669
127	4085.058889
128	4077.387371
129	4069.124235
130	4061.984279
131	4054.48354
132	4047.386433
133	4040.179933
134	4033.052891
135	4025.413169
136	4017.976986
137	4010.656997
138	4003.378159
139	3997.155427
140	3990.218198
141	3983.129881
142	3976.673552
143	3968.792524
144	3961.833972
145	3955.552483
146	3949.147202
147	3942.904714
148	3936.134156
149	3930.237002
150	3924.127744
151	3918.520094
152	3912.796069
153	3906.462179
154	3900.792491
155	3894.068956
156	3888.64555
157	3883.6795
158	3878.271188
159	3872.32876
160	3866.938805
161	3860.670097
162	3854.839582
163	3849.866625
164	3844.455639
165	3839.087159
166	3832.865531
167	3828.310119
168	3823.046248
169	3817.951066
170	3812.882732
171	3807.5327
172	3802.916519
173	3798.552046
174	3794.421612
175	3789.655805
176	3785.153611
177	3780.295837
178	3775.640219
179	3771.737035
180	3767.845756
181	3763.666249
182	3759.602291
183	3755.812675
184	3751.072883
185	3747.118762
186	3742.691135
187	3739.23352
188	3735.386534
189	3731.469639
190	3727.578408
191	3723.541807
192	3720.104398
193	3715.640329
194	3711.699354
195	3707.371866
196	3703.241447
197	3699.661473
198	3696.082188
199	3692.885833
200	3689.867773
201	3685.666128
202	3682.763
203	3679.532343
204	3675.699707
205	3672.127071
206	3668.72585
207	3665.250885
208	3662.286134
209	3659.258562
210	3655.958051
211	3652.849912
212	3649.73586
213	3647.146339
214	3644.37232
215	3641.393314
216	3638.288296
217	3635.141977
218	3632.70014
219	3630.038728
220	3626.912831
221	3624.543745
222	3621.626505
223	3619.261064
224	3616.863784
225	3613.71706
226	3611.118352
227	3608.070151
228	3605.428209
229	3602.334542
230	3599.563414
231	3597.005509
232	3594.508349
233	3591.615319
234	3589.277075
235	3586.60857
236	3583.938397
237	3581.614957
238	3579.054077
239	3577.036817
240	3573.668315
241	3570.736094
242	3568.411229
243	3565.517724
244	3563.553645
245	3561.222677
246	3558.9512
247	3556.004883
248	3553.399906
249	3550.636874
250	3548.088922
251	3546.08214
252	3543.672088
253	3542.059512
254	3539.981398
255	3538.304044
256	3536.122084
257	3534.289033
258	3532.70328
259	3529.604304
260	3527.092933
261	3525.090988
262	3523.313423
263	3520.411354
264	3518.807388
265	3515.802088
266	3513.543932
267	3511.736558
268	3509.700723
269	3507.04323
270	3504.043256
271	3502.244421
272	3500.01579
273	3498.033122
274	3495.640306
275	3493.794362
276	3491.780547
277	3490.291164
278	3488.809746
279	3487.252254
280	3484.735405
281	3482.749199
282	3481.396394
283	3479.504624
284	3477.731246
285	3475.929982
286	3473.947699
287	3471.534524
288	3470.117035
289	3468.055745
290	3466.874367
291	3465.309238
292	3464.194047
293	3462.188163
294	3460.967156
295	3459.344405
296	3457.387034
297	3454.893898
298	3453.425968
299	3452.416675
300	3450.906379
301	3449.500286
302	3447.932813
303	3445.367187
304	3444.024302
305	3442.604674
306	3441.583706
307	3439.638758
308	3437.128008
309	3435.902098
310	3434.892385
311	3433.290352
312	3432.147108
313	3429.882514
314	3428.239831
315	3426.149393
316	3424.393733
317	3423.22539
318	3422.062356
319	3420.617887
320	3419.86402
321	3418.28827
322	3416.720059
323	3414.755314
324	3413.883667
325	3412.766212
326	3411.453687
327	3410.378964
328	3408.684579
329	3408.057635
330	3405.919494
331	3404.999245
332	3403.939873
333	3402.362761
334	3401.054442
335	3399.744891
336	3398.784615
337	3397.717658
338	3396.439118
339	3394.990073
340	3393.434668
341	3392.492757
342	3390.997477
343	3390.03303
344	3389.070655
345	3387.716431
346	3386.282803
347	3384.063785
348	3382.245676
349	3380.921272
350	3379.269119
351	3378.203734
352	3376.113657
353	3375.112389
354	3374.057959
355	3373.159344
356	3371.989769
357	3370.524352
358	3369.599048
359	3367.948554
360	3366.829134
361	3365.048666
362	3364.331493
363	3363.14263
364	3361.277363
